,movieId,title,genres
1292,1722,Tomorrow Never Dies (1997),Action|Adventure|Thriller
1295,1729,Jackie Brown (1997),Crime|Drama|Thriller
1298,1732,"Big Lebowski, The (1998)",Comedy|Crime
1305,1748,Dark City (1998),Adventure|Film-Noir|Sci-Fi|Thriller
1307,1753,Half Baked (1998),Comedy
1308,1754,Fallen (1998),Crime|Drama|Fantasy|Thriller
1309,1755,Shooting Fish (1997),Comedy|Romance
1315,1769,"Replacement Killers, The (1998)",Action|Crime|Thriller
1320,1779,Sphere (1998),Sci-Fi|Thriller
1322,1784,As Good as It Gets (1997),Comedy|Drama|Romance
1325,1792,U.S. Marshals (1998),Action|Crime|Thriller
1330,1799,Suicide Kings (1997),Comedy|Crime|Drama|Mystery|Thriller
1331,1801,"Man in the Iron Mask, The (1998)",Action|Adventure|Drama
1346,1831,Lost in Space (1998),Action|Adventure|Sci-Fi
1347,1833,Mercury Rising (1998),Action|Drama|Thriller
1390,1907,Mulan (1998),Adventure|Animation|Children|Comedy|Drama|Musical|Romance
1391,1909,"X-Files: Fight the Future, The (1998)",Action|Crime|Mystery|Sci-Fi|Thriller
1393,1911,Dr. Dolittle (1998),Comedy
1398,1917,Armageddon (1998),Action|Romance|Sci-Fi|Thriller
1399,1918,Lethal Weapon 4 (1998),Action|Comedy|Crime|Thriller
1402,1921,Pi (1998),Drama|Sci-Fi|Thriller
1404,1923,There's Something About Mary (1998),Comedy|Romance
1430,1953,"French Connection, The (1971)",Action|Crime|Thriller
1431,1954,Rocky (1976),Drama
1438,1961,Rain Man (1988),Drama
1445,1968,"Breakfast Club, The (1985)",Comedy|Drama
1466,1991,Child's Play (1988),Horror|Thriller
1469,1994,Poltergeist (1982),Horror|Thriller
1472,1997,"Exorcist, The (1973)",Horror|Mystery
1475,2000,Lethal Weapon (1987),Action|Comedy|Crime|Drama
1476,2001,Lethal Weapon 2 (1989),Action|Comedy|Crime|Drama
1477,2002,Lethal Weapon 3 (1992),Action|Comedy|Crime|Drama
1484,2009,Soylent Green (1973),Drama|Mystery|Sci-Fi|Thriller
1496,2021,Dune (1984),Adventure|Sci-Fi
1498,2023,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller
1503,2028,Saving Private Ryan (1998),Action|Drama|War
1544,2080,Lady and the Tramp (1955),Animation|Children|Comedy|Romance
1547,2083,"Muppet Christmas Carol, The (1992)",Children|Comedy|Musical
1557,2094,"Rocketeer, The (1991)",Action|Adventure|Sci-Fi
1560,2097,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller
1567,2105,Tron (1982),Action|Adventure|Sci-Fi
1576,2115,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy
1578,2117,1984 (Nineteen Eighty-Four) (1984),Drama|Sci-Fi
1584,2123,All Dogs Go to Heaven (1989),Animation|Children|Comedy|Drama|Fantasy
1585,2124,"Addams Family, The (1991)",Children|Comedy|Fantasy
1587,2126,Snake Eyes (1998),Action|Crime|Mystery|Thriller
1598,2140,"Dark Crystal, The (1982)",Adventure|Fantasy
1611,2153,"Avengers, The (1998)",Action|Adventure
1617,2161,"NeverEnding Story, The (1984)",Adventure|Children|Fantasy
1623,2167,Blade (1998),Action|Horror|Thriller
1628,2174,Beetlejuice (1988),Comedy|Fantasy
1644,2193,Willow (1988),Action|Adventure|Fantasy
1645,2194,"Untouchables, The (1987)",Action|Crime|Drama
1661,2231,Rounders (1998),Drama
1662,2232,Cube (1997),Horror|Mystery|Sci-Fi|Thriller
1693,2278,Ronin (1998),Action|Crime|Thriller
1694,2279,Urban Legend (1998),Horror|Thriller
1697,2282,Pecker (1998),Comedy|Drama
1704,2291,Edward Scissorhands (1990),Drama|Fantasy|Romance
1706,2294,Antz (1998),Adventure|Animation|Children|Comedy|Fantasy
1723,2315,Bride of Chucky (Child's Play 4) (1998),Comedy|Horror|Thriller
1727,2321,Pleasantville (1998),Comedy|Drama|Fantasy
1734,2329,American History X (1998),Crime|Drama
1755,2353,Enemy of the State (1998),Action|Thriller
1757,2355,"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy
1786,2384,Babe: Pig in the City (1998),Adventure|Children|Drama
1807,2407,Cocoon (1985),Comedy|Sci-Fi
1827,2428,"Faculty, The (1998)",Horror|Sci-Fi
1830,2431,Patch Adams (1998),Comedy|Drama
1845,2454,"Fly, The (1958)",Horror|Mystery|Sci-Fi
1862,2474,"Color of Money, The (1986)",Drama
1872,2490,Payback (1999),Action|Thriller
1883,2502,Office Space (1999),Comedy|Crime
1886,2505,8MM (1999),Drama|Mystery|Thriller
1905,2529,Planet of the Apes (1968),Action|Drama|Sci-Fi
1916,2541,Cruel Intentions (1999),Drama
1917,2542,"Lock, Stock & Two Smoking Barrels (1998)",Comedy|Crime|Thriller
1922,2550,"Haunting, The (1963)",Horror|Thriller
1931,2560,Ravenous (1999),Horror|Thriller
1937,2568,"Mod Squad, The (1999)",Action|Crime
1939,2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller
1946,2580,Go (1999),Comedy|Crime
1961,2600,eXistenZ (1999),Action|Sci-Fi|Thriller
1971,2616,Dick Tracy (1990),Action|Crime
1972,2617,"Mummy, The (1999)",Action|Adventure|Comedy|Fantasy|Horror|Thriller
1979,2628,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi
2008,2672,"Thirteenth Floor, The (1999)",Drama|Sci-Fi|Thriller
2010,2676,Instinct (1999),Drama|Thriller
2014,2683,Austin Powers: The Spy Who Shagged Me (1999),Action|Adventure|Comedy
2028,2700,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy|Musical
2032,2707,Arlington Road (1999),Thriller
2036,2712,Eyes Wide Shut (1999),Drama|Mystery|Thriller
2038,2716,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi
2039,2717,Ghostbusters II (1989),Comedy|Fantasy|Sci-Fi
2041,2719,"Haunting, The (1999)",Horror|Thriller
2077,2761,"Iron Giant, The (1999)",Adventure|Animation|Children|Drama|Sci-Fi
2078,2762,"Sixth Sense, The (1999)",Drama|Horror|Mystery
2079,2763,"Thomas Crown Affair, The (1999)",Action|Mystery
2111,2805,Mickey Blue Eyes (1999),Comedy|Romance
2134,2840,Stigmata (1999),Drama|Thriller
2135,2841,Stir of Echoes (1999),Horror|Mystery|Thriller
2145,2858,American Beauty (1999),Drama|Romance
2173,2889,"Mystery, Alaska (1999)",Comedy|Drama
2174,2890,Three Kings (1999),Action|Adventure|Comedy|Drama|War
2191,2912,"Limey, The (1999)",Crime|Drama|Thriller
2195,2918,Ferris Bueller's Day Off (1986),Comedy
2226,2959,Fight Club (1999),Action|Crime|Drama|Thriller
2250,2987,Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery
2257,2995,House on Haunted Hill (1999),Horror|Thriller
2264,3005,"Bone Collector, The (1999)",Thriller
2285,3032,"Omega Man, The (1971)",Action|Drama|Sci-Fi|Thriller
2287,3034,Robin Hood (1973),Adventure|Animation|Children|Comedy|Musical
2302,3052,Dogma (1999),Adventure|Comedy|Fantasy
2303,3053,"Messenger: The Story of Joan of Arc, The (1999)",Drama|War
2326,3081,Sleepy Hollow (1999),Fantasy|Horror|Mystery|Romance
2327,3082,"World Is Not Enough, The (1999)",Action|Adventure|Thriller
2372,3147,"Green Mile, The (1999)",Crime|Drama
2373,3148,"Cider House Rules, The (1999)",Drama
2382,3160,Magnolia (1999),Drama
2393,3175,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi
2402,3186,"Girl, Interrupted (1999)",Drama
2416,3210,Fast Times at Ridgemont High (1982),Comedy|Drama|Romance
2439,3252,Scent of a Woman (1992),Drama
2440,3253,Wayne's World (1992),Comedy
2445,3258,Death Becomes Her (1992),Comedy|Fantasy
2454,3267,"Mariachi, El (1992)",Action|Crime|Thriller|Western
2458,3271,Of Mice and Men (1992),Drama
2460,3273,Scream 3 (2000),Comedy|Horror|Mystery|Thriller
2461,3274,Single White Female (1992),Drama|Thriller
2462,3275,"Boondock Saints, The (2000)",Action|Crime|Drama|Thriller
2475,3298,Boiler Room (2000),Crime|Drama|Thriller
2477,3300,Pitch Black (2000),Horror|Sci-Fi|Thriller
2508,3355,"Ninth Gate, The (1999)",Fantasy|Horror|Mystery|Thriller
2514,3362,Dog Day Afternoon (1975),Crime|Drama
2536,3396,"Muppet Movie, The (1979)",Adventure|Children|Comedy|Musical
2547,3409,Final Destination (2000),Drama|Thriller
2555,3421,Animal House (1978),Comedy
2579,3448,"Good Morning, Vietnam (1987)",Comedy|Drama|War
2581,3450,Grumpy Old Men (1993),Comedy
2601,3477,Empire Records (1995),Comedy|Drama
2605,3481,High Fidelity (2000),Comedy|Drama|Romance
2607,3484,"Skulls, The (2000)",Thriller
2608,3489,Hook (1991),Adventure|Comedy|Fantasy
2614,3499,Misery (1990),Drama|Horror|Thriller
2624,3510,Frequency (2000),Drama|Thriller
2636,3527,Predator (1987),Action|Sci-Fi|Thriller
2654,3552,Caddyshack (1980),Comedy
2674,3578,Gladiator (2000),Action|Adventure|Drama
2696,3617,Road Trip (2000),Comedy
2700,3623,Mission: Impossible II (2000),Action|Adventure|Thriller
2748,3686,Flatliners (1990),Horror|Sci-Fi|Thriller
2779,3717,Gone in 60 Seconds (2000),Action|Crime
2793,3735,Serpico (1973),Crime|Drama
2803,3745,Titan A.E. (2000),Action|Adventure|Animation|Children|Sci-Fi
2807,3752,"Me, Myself & Irene (2000)",Adventure|Comedy
2808,3753,"Patriot, The (2000)",Action|Drama|War
2815,3763,F/X (1986),Action|Crime|Thriller
2836,3793,X-Men (2000),Action|Adventure|Sci-Fi
2840,3798,What Lies Beneath (2000),Drama|Horror|Mystery
2859,3825,Coyote Ugly (2000),Comedy|Drama|Romance
2888,3863,"Cell, The (2000)",Drama|Horror|Thriller
2907,3897,Almost Famous (2000),Drama
2916,3911,Best in Show (2000),Comedy
2919,3915,Girlfight (2000),Drama
2921,3917,Hellraiser (1987),Horror
2944,3948,Meet the Parents (2000),Comedy
2945,3949,Requiem for a Dream (2000),Drama
2960,3968,Bedazzled (2000),Comedy
2966,3977,Charlie's Angels (2000),Action|Comedy
2976,3988,How the Grinch Stole Christmas (a.k.a. The Grinch) (2000),Children|Comedy|Fantasy
2982,3994,Unbreakable (2000),Drama|Sci-Fi
2983,3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action|Drama|Romance
2996,4011,Snatch (2000),Comedy|Crime|Thriller
3000,4016,"Emperor's New Groove, The (2000)",Adventure|Animation|Children|Comedy|Fantasy
3002,4018,What Women Want (2000),Comedy|Romance
3003,4019,Finding Forrester (2000),Drama
3006,4022,Cast Away (2000),Drama
3010,4027,"O Brother, Where Art Thou? (2000)",Adventure|Comedy|Crime
3016,4034,Traffic (2000),Crime|Drama|Thriller
3028,4052,Antitrust (2001),Crime|Drama|Thriller
3030,4054,Save the Last Dance (2001),Drama|Romance
3054,4090,"Brave Little Toaster, The (1987)",Animation|Children
3061,4105,"Evil Dead, The (1981)",Fantasy|Horror|Thriller
3075,4128,"Lost Boys, The (1987)",Comedy|Horror|Thriller
3090,4148,Hannibal (2001),Horror|Thriller
3101,4161,"Mexican, The (2001)",Action|Comedy
3109,4178,Of Mice and Men (1939),Drama
3138,4223,Enemy at the Gates (2001),Drama|War
3141,4226,Memento (2000),Mystery|Thriller
3151,4238,Along Came a Spider (2001),Action|Crime|Mystery|Thriller
3152,4239,Blow (2001),Crime|Drama
3157,4246,Bridget Jones's Diary (2001),Comedy|Drama|Romance
3167,4262,Scarface (1983),Action|Crime|Drama
3172,4270,"Mummy Returns, The (2001)",Action|Adventure|Comedy|Thriller
3194,4306,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance
3197,4310,Pearl Harbor (2001),Action|Drama|Romance|War
3216,4343,Evolution (2001),Comedy|Sci-Fi
3217,4344,Swordfish (2001),Action|Crime|Drama
3230,4366,Atlantis: The Lost Empire (2001),Adventure|Animation|Children|Fantasy
3231,4367,Lara Croft: Tomb Raider (2001),Action|Adventure
3233,4369,"Fast and the Furious, The (2001)",Action|Crime|Thriller
3234,4370,A.I. Artificial Intelligence (2001),Adventure|Drama|Sci-Fi
3286,4446,Final Fantasy: The Spirits Within (2001),Adventure|Animation|Fantasy|Sci-Fi
3288,4448,"Score, The (2001)",Action|Drama
3292,4452,Made (2001),Comedy
3315,4487,Cocktail (1988),Drama|Romance
3363,4571,Bill & Ted's Excellent Adventure (1989),Adventure|Comedy|Sci-Fi
3408,4636,"Punisher, The (1989)",Action
3409,4638,Jurassic Park III (2001),Action|Adventure|Sci-Fi|Thriller
3412,4641,Ghost World (2001),Comedy|Drama
3414,4643,Planet of the Apes (2001),Action|Adventure|Drama|Sci-Fi
3433,4677,Turner & Hooch (1989),Comedy|Crime
3460,4719,Osmosis Jones (2001),Action|Animation|Comedy|Crime|Drama|Romance|Thriller
3461,4720,"Others, The (2001)",Drama|Horror|Mystery|Thriller
3495,4776,Training Day (2001),Crime|Drama|Thriller
3525,4816,Zoolander (2001),Comedy
3554,4865,From Hell (2001),Crime|Horror|Mystery|Thriller
3555,4866,"Last Castle, The (2001)",Action
3558,4873,Waking Life (2001),Animation|Drama|Fantasy
3559,4874,K-PAX (2001),Drama|Fantasy|Mystery|Sci-Fi
3560,4876,Thirteen Ghosts (a.k.a. Thir13en Ghosts) (2001),Horror|Thriller
3562,4878,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller
3568,4886,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy
3569,4887,"One, The (2001)",Action|Sci-Fi|Thriller
3572,4890,Shallow Hal (2001),Comedy|Fantasy|Romance
3574,4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy
3578,4901,Spy Game (2001),Action|Crime|Drama|Thriller
3614,4963,Ocean's Eleven (2001),Crime|Thriller
3623,4974,Not Another Teen Movie (2001),Comedy
3624,4975,Vanilla Sky (2001),Mystery|Romance|Sci-Fi|Thriller
3637,4992,Kate & Leopold (2001),Comedy|Romance
3638,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
3640,4995,"Beautiful Mind, A (2001)",Drama|Romance
3667,5049,48 Hrs. (1982),Action|Comedy|Crime|Drama
3676,5064,The Count of Monte Cristo (2002),Action|Adventure|Drama|Thriller
3677,5065,"Mothman Prophecies, The (2002)",Drama|Fantasy|Horror|Mystery|Thriller
3682,5072,Metropolis (2001),Animation|Sci-Fi
3721,5146,Vampire Hunter D: Bloodlust (Banpaia hantâ D) (2000),Animation|Fantasy|Horror|Sci-Fi
3731,5171,"Time Machine, The (2002)",Action|Adventure|Sci-Fi
3745,5218,Ice Age (2002),Adventure|Animation|Children|Comedy
3746,5219,Resident Evil (2002),Action|Horror|Sci-Fi|Thriller
3747,5220,Showtime (2002),Action|Comedy
3764,5254,Blade II (2002),Action|Horror|Thriller
3770,5266,Panic Room (2002),Thriller
3785,5293,Changing Lanes (2002),Drama|Thriller
3786,5294,Frailty (2001),Crime|Drama|Thriller
3790,5299,My Big Fat Greek Wedding (2002),Comedy|Romance
3799,5313,The Scorpion King (2002),Action|Adventure|Fantasy|Thriller
3819,5349,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller
3832,5378,Star Wars: Episode II - Attack of the Clones (2002),Action|Adventure|Sci-Fi|IMAX
3839,5388,Insomnia (2002),Action|Crime|Drama|Mystery|Thriller
3854,5418,"Bourne Identity, The (2002)",Action|Mystery|Thriller
3872,5444,Lilo & Stitch (2002),Adventure|Animation|Children|Sci-Fi
3873,5445,Minority Report (2002),Action|Crime|Mystery|Sci-Fi|Thriller
3877,5449,Mr. Deeds (2002),Comedy|Romance
3885,5459,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),Action|Comedy|Sci-Fi
3890,5464,Road to Perdition (2002),Crime|Drama
3915,5502,Signs (2002),Horror|Sci-Fi|Thriller
3920,5507,xXx (2002),Action|Crime|Thriller
3931,5528,One Hour Photo (2002),Drama|Thriller
3984,5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy
3991,5630,Red Dragon (2002),Crime|Mystery|Thriller
4011,5668,White Oleander (2002),Drama
4012,5669,Bowling for Columbine (2002),Documentary
4018,5679,"Ring, The (2002)",Horror|Mystery|Thriller
4076,5816,Harry Potter and the Chamber of Secrets (2002),Adventure|Fantasy
4096,5872,Die Another Day (2002),Action|Adventure|Thriller
4116,5901,Empire (2002),Crime|Drama
4117,5902,Adaptation (2002),Comedy|Drama|Romance
4118,5903,Equilibrium (2002),Action|Sci-Fi|Thriller
4133,5945,About Schmidt (2002),Comedy|Drama
4137,5952,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy
4139,5954,25th Hour (2002),Crime|Drama
4141,5956,Gangs of New York (2002),Crime|Drama
4143,5959,Narc (2002),Crime|Drama|Thriller
4159,5989,Catch Me If You Can (2002),Crime|Drama
4161,5991,Chicago (2002),Comedy|Crime|Drama|Musical
